rms,zcr,centroid,bandwidth,rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.09724631,0.043878728693181816,1885.8990953211373,2578.495095182593,4392.7734375,-229.52486,97.62857,57.151867,39.986588,-7.944188,20.283377,13.366858,-5.7969584,-5.041942,9.9340315,-2.3362384,12.1101265,-0.99700636,ripe
0.19417186,0.06793767755681818,2246.6288126531263,2803.4231732063026,5179.714133522727,-239.09833,80.42038,53.219093,35.17628,19.46594,19.692326,5.44727,14.456778,2.7898204,6.9664807,-1.0473113,8.149747,0.88975215,ripe
0.111019224,0.07157759232954546,2458.526913343336,2640.4105960996108,5114.1357421875,-200.38326,76.43775,41.538795,42.222103,-7.693616,20.142036,7.096318,7.5426464,2.8036747,4.425302,2.9513597,4.99936,3.0647767,ripe
0.067747995,0.23532936789772727,4275.8878103184,3070.7820069098498,7699.098899147727,-261.4218,17.211998,44.645756,36.0743,-8.006318,25.920544,4.6244454,16.317286,1.5517582,11.373892,2.2684531,13.699543,-0.90902215,ripe
0.111183256,0.11527876420454546,2633.110044592313,2507.07391557406,5434.197443181818,-168.02982,76.55054,-5.4284835,43.92444,0.023981094,10.629543,-3.7812808,-2.9148805,11.910669,9.99115,-2.0417473,5.230898,-7.6145554,ripe
0.18067074,0.27021928267045453,3954.66553765224,2531.9004881529563,6581.329900568182,-59.043785,21.721985,8.715472,57.572994,-18.058985,11.587478,-6.4960127,10.128328,5.133974,7.9904523,-2.9626257,8.84268,-1.9637841,ripe
0.049188267,0.1527432528409091,3188.2382608694897,2688.5808212841384,6063.554243607955,-307.5015,49.39387,38.08652,50.78158,-8.939865,11.805695,-0.7877131,19.951042,2.1324916,10.918625,-2.643009,4.027667,3.492381,ripe
0.13559407,0.10427024147727272,2539.4605648104134,2546.197469788301,5238.441051136364,-143.42944,85.745026,20.608728,33.388878,-24.414238,22.719666,2.608407,15.145413,7.525664,-9.259109,-0.51432556,1.7301186,-4.5867057,ripe
0.11067851,0.03500088778409091,1856.8901148875414,2478.03737965143,4150.035511363636,-236.22197,86.309906,33.36877,52.474827,15.266217,8.393474,7.857869,6.277183,0.3755739,11.485546,-1.0452384,8.120704,2.6748314,ripe
0.057266865,0.09778941761363637,2345.660732787843,2742.051834142856,5437.1337890625,-357.31287,69.02438,41.521786,54.452,17.361217,16.199339,6.864885,9.880259,1.3694508,4.824254,3.8277242,-1.9596592,-1.3496791,ripe
0.041990384,0.06298828125,1958.540784972014,2351.3508247716763,4067.8178267045455,-329.44754,91.78704,53.46212,56.643875,-4.3491745,16.403463,-1.4866658,8.474492,4.299863,-0.77556723,2.6748457,5.9008512,6.447464,ripe
0.1571766,0.15032404119318182,2825.9092956142867,2472.5120147590656,5402.387029474432,-110.644585,69.81007,-0.2848386,46.00139,-22.731478,12.275817,-1.5469886,2.9814768,7.1131253,-1.6375843,-9.060464,9.266618,-1.3921523,ripe
0.13417636,0.09772283380681818,2118.3733401511086,2260.8857641825825,4353.622159090909,-141.23317,101.626854,1.1165118,23.287666,-22.726934,10.056458,12.358447,18.039001,2.509307,10.849926,8.271877,5.0707946,-2.8264508,ripe
